SEASON,total_centers,total_fg3m,total_fg3a,avg_fg3m,avg_fg3_pct
2004-05,118,280,936,2.3728813559322033,0.06472033898305085
2005-06,107,185,646,1.7289719626168225,0.04814953271028038
2006-07,109,499,1446,4.577981651376147,0.07178899082568807
2007-08,118,745,2231,6.313559322033898,0.05719491525423728
2008-09,116,868,2271,7.482758620689655,0.10333620689655172
2009-10,109,863,2503,7.91743119266055,0.07804587155963302
2010-11,103,553,1512,5.368932038834951,0.10523300970873786
2011-12,120,521,1606,4.341666666666667,0.08281666666666668
2012-13,112,438,1459,3.9107142857142856,0.12123214285714286
2013-14,114,942,2803,8.263157894736842,0.09671052631578948
2014-15,113,581,1807,5.1415929203539825,0.11166371681415929
2015-16,108,831,2519,7.694444444444445,0.13146296296296298
2016-17,101,1494,4338,14.792079207920793,0.14013861386138612
2017-18,118,2263,6400,19.177966101694917,0.1652457627118644
2018-19,100,1992,5928,19.92,0.18789
2019-20,103,2469,7273,23.97087378640777,0.2424368932038835
2020-21,111,2608,7445,23.495495495495497,0.22445045045045045
2021-22,112,2690,8009,24.017857142857142,0.22276785714285713
2022-23,105,2965,8542,28.238095238095237,0.2592380952380952
2023-24,101,3000,8469,29.702970297029704,0.22425742574257423
2024-25,107,3494,9895,32.654205607476634,0.22469158878504675
