SEASON,SEASON_START,TEAMS,TEAM_GAMES,TOTAL_POINTS,PTS_PER_TEAM_GAME,FG3A_PER_TEAM_GAME,FG3M_PER_TEAM_GAME,FG3_PCT,OFF_RATING,PACE,EFG_PCT,TS_PCT
2004-05,2004,30,2460,239087,97.19,15.75,5.6,0.353,104.5,92.27,0.482,0.529
2005-06,2005,30,2460,238653,97.01,15.98,5.73,0.357,104.9,91.7,0.49,0.536
2006-07,2006,30,2460,242900,98.74,16.94,6.07,0.357,105.3,92.93,0.496,0.541
2007-08,2007,30,2460,245811,99.92,18.11,6.56,0.36,106.2,93.49,0.497,0.54
2008-09,2008,30,2460,245861,99.94,18.13,6.65,0.365,107.0,92.76,0.5,0.544
2009-10,2009,30,2460,247107,100.45,18.14,6.44,0.353,106.6,93.6,0.501,0.543
2010-11,2010,30,2460,244901,99.55,18.01,6.46,0.356,106.3,92.9,0.499,0.542
2011-12,2011,30,1980,190595,96.26,18.39,6.41,0.347,103.5,92.25,0.487,0.527
2012-13,2012,30,2458,241225,98.14,19.97,7.16,0.358,104.8,92.95,0.497,0.535
2013-14,2013,30,2460,248485,101.01,21.54,7.74,0.359,105.7,94.8,0.501,0.541
2014-15,2014,30,2460,246041,100.02,22.41,7.85,0.349,104.7,94.72,0.496,0.534
2015-16,2015,30,2460,252552,102.66,24.08,8.51,0.353,105.6,96.54,0.503,0.541
2016-17,2016,30,2460,259751,105.59,27.0,9.65,0.357,108.2,96.96,0.514,0.552
2017-18,2017,30,2460,261588,106.34,29.0,10.49,0.362,107.8,98.03,0.521,0.556
2018-19,2018,30,2460,273560,111.2,32.01,11.36,0.356,109.7,100.66,0.524,0.56
2019-20,2019,30,2118,236781,111.79,34.12,12.21,0.358,110.1,100.81,0.529,0.565
2020-21,2020,30,2160,242107,112.09,34.64,12.71,0.366,111.7,99.75,0.538,0.572
2021-22,2021,30,2460,272092,110.61,35.18,12.44,0.354,111.4,98.75,0.532,0.566
2022-23,2022,30,2460,282129,114.69,34.21,12.34,0.36,114.1,99.79,0.545,0.582
2023-24,2023,30,2460,280981,114.22,35.11,12.84,0.366,114.5,99.15,0.547,0.58
2024-25,2024,30,2460,280014,113.83,37.58,13.54,0.36,113.7,99.58,0.543,0.576
